"audience-reviews__name","audience-reviews__duration","audience-reviews__review"
"Carly R","Sep 28, 2025","The best superman film since Christopher Reeve's Superman. This was a great first outing, loved the cast. James Gunn put a lot of the weird and obscure DC elements in and it made the movie so unique and fun. Elements of the original score were here and there and helped the movie emotionally, though Gunn is great at creating emotional moments anyway. Fans have been begging for a long time - just make us care!! I really cared about the characters in this movie. And finally moving into the nowish future we got a super genius Lex Luthor who is scary! I can say I've never been scared or felt real stakes from a Lex Luthor character, and finally that mark was hit. 

All around great, no complaints, go see this if you haven't already"
"Angela P","Sep 28, 2025","What a wonderful watch! Thank you James Gunn for reigniting my love for the Superman franchise. I enjoyed eveey single minute, the film ticked all the boxes — strong, yet vulnerable Superman, Psychopathic Lex (although quite pitiable), bad superman, crypto and even Supergirl. Phew! I am looking forward to the next installment. All super hero movies should be directed by JG. Well done and David Corenswett was a great pick, sorry Cavill"
"M","Sep 28, 2025","Emo Superman who cant win a fight.  More like super boy"
"Martin S","Sep 28, 2025","It was fine, nothing to write home about."
"Some R","Sep 28, 2025","Superman: 2025 delivered a hot pie of hope to my doorstep when I watched it. The visuals are amazing, and it feels like it was ripped straight out of a comic book. It gives Superman that Boy Scout feel that he’s lacked since the Richard Donner adaptations in 1978. It’s amazing how feel-good this movie is, and Superman is so… human. He’s so real and so charismatic and so kind to everyone and everything. It’s beautiful. Rachel Brosnahan also did an amazing job portraying Lois Lane, and gave her character the most justice ever seen on the big screen, same with Nicholas Hoult’s Lex Luthor, though I can’t say I’m surprised. Beautiful movie, once again, James Gunn is a genius. Must-Watch."
"MaryAnn M.","Sep 28, 2025","Fun. Adventure and a cute dog"
"David A","Sep 28, 2025","There was talk of trying to get closer to the Christopher Reeves version of Superman. James Gunn didn’t even come close. Looked more like Mediocre Man. Too many other characters overshadowed the main character. The Richard Donner version still holds up better."
"Mark M","Sep 28, 2025","This movie is a complete disaster and an insult to the Superman legacy. It strips away everything that makes the character iconic and turns him into a weak, whiny shell of a hero. Instead of the powerful, awe-inspiring figure who stands for hope and strength, we’re left with a childish, ridiculous version that ruins the entire mythos. The story is nonsensical, the tone is juvenile, and every bit of “coolness” that Superman should have is completely absent. It doesn’t just miss the mark—it destroys it. If you value Superman as a character, avoid this movie at all costs."
"Razka M","Sep 28, 2025","this movie is so goated guys, believe me, this is the real superman.

ABSOLUTE CINEMA"
"Joel J","Sep 28, 2025","This movie was extremely disappointing, I’ve been hoping that DC could step up, but this screenplay is one of the most cheesiest I’ve ever had to endure. I’m sure the people who like this movie love Tyler Perry’s screenplays for all his shows. From Guardians of the Galaxy and Peacemaker to this rubbish? Cmon James Gunn!!!"
"RJ F","Sep 28, 2025","This was pretty bad. None of the characters were likeable nor were they developed well enough. We barely know their motivations. Half of them were thrown in there to make DC fanboys giddy. Metamorpho has a white girlfriend that he made an alien baby with? Huh?! I've never seen such an awful Green Lantern. The dialogue was pretty bad and campy and had none of the humor that James Gunn had with Guardians of the Galaxy. Diane Lane and Kevin Costner were a million times better as the Kents than the parents in this movie. The DC universe is a mess. Black Adam and Blue Beetle were much better and more watchable than this version of Superman."
"Beto Z.","Sep 28, 2025","Best superman on the big screen. Henry Cavils superman is nothing compared to David’s. I truly felt like a kid watching a superhero movie for the first time. It may have felt a little chaotic in some bits but it had a great deep meaning 9/10"
"Gail B","Sep 28, 2025","I liked Henry Cavill and I like this version too. I found this movie more easygoing and fun. Mr. Terrific stole the show. I wish this would have been a short streaming series instead, as 2 hours really isn't enough time to do the characters justice."
"Victor P","Sep 28, 2025","A decent movie, but not a great movie. Disappointed, James Gunn made him so vulnerable. To make him more human is one thing but he's too human now. Also to much salty language for a family movie. Graphics are OK. I expected more from this movie, especially since it's made a lot of money."
"Steve W","Sep 28, 2025","Terrible! Each scene feels like Stevie Wonder, and Ray Charles, wrote the script!! It's time to face a harsh truth: Superman just doesn't translate well from comic book to movie! Superman 2, from the 80's,  is the Best this franchise has been and will forever be in cinematic history!"
"Bob S","Sep 28, 2025","Incredibly stupid premise but the second half of the movie was better.  Hopefully the next one restores faith in the franchise"
"Tauhid J","Sep 28, 2025","This is by far the worst Superman I’ve ever seen in my entire life. I can’t believe they made him into a sissy. What a waste of my time."
"Craig C","Sep 28, 2025","Absolute worst superman of all time. please if you like the character of superman , for the love of god DON'T watch this film. It just isnt superman. If you enjoy the film fine, but just know this is a completely different person. This guy in the blue suit with a cape is a tiny whiney weak willed emotional mess. He has zero aura and gets beaten by absolutely everyone. he is the weakest of all heroes in this version of James Gunns superman. It destroys and character assassinates superman. I would give it negative 1000 stars if I could and erase the memory of having watched it. It makes me angry that someone was allowed to do this to superman."
"Steven B","Sep 28, 2025","It just wasn't Superman.   Also, the plot was very hectic and hard to follow.  I loved all the other Superman movies.  Just not this one."
"Furious B","Sep 28, 2025","Back to campy. While I appreciate a new direction from Cavill’s MoS here, there was some painfully cheesy cinematography and visuals. And Ma must’ve been from West Texas with that non-Kansan twang. Rented on Amazon for $7.99, that’s about all it is worth unless there’s some more Krypto footage in a directors cut."
"Jacob R","Sep 28, 2025","Best Superhero movie of 2025!!! This movie is entertaining funny and has action and has Heartwarming scenes. It was also so realistic they made me feel like i'm in the movie they knew what they were doing they knew what the audience wanted."
"Ian S","Sep 27, 2025","From watching the trailers, I did not think this Superman was worth watching, frankly it looked terrible. And after the first 5 minutes, I about stopped watching. Until I realized that this movie was a throwback to the original movie series and it was trying to be lighthearted and comedic, which if you give it a chance and stay within that mind frame, it is worth watching…! It isn’t great but it does a good enough job to be funny and interesting. The best line in the movie…” I am doing important stuff”… I liked it..!"
"James S.","Sep 27, 2025","James Gunn ruined Superman… yay… -_-"
"Dave V","Sep 27, 2025","What a H O R R I B L E  M O V I E ! ! ! More marvel like trash.  DC has hit rock bottom. The whole movie is a joke and insult to the previous Superman movies. I wasted 2 hours and 10 mins of my day. Don’t waste your time and ask for your money back."
"Ivan F","Sep 27, 2025","Is absolutely terrible. Please do not waste your time with this film"
"Marco K","Sep 27, 2025","Achei muito divertido, nao perdeu tempo com origem e trouxe uma divertida história de um jovem superman, aprovado."
"Aaron M","Sep 27, 2025","Did I watch the same movie as people giving this 5 stars?? I couldn’t take this movie seriously at all. Like some kids almost cartoon version with silly slap sticky characters. This movie was terrible."
"Leo B","Sep 27, 2025","This is definitely not a Superman who would be punching an armored clad Batman through buildings without a care for the damage. It was great to see a Superman connected to a larger universe, much more like the animated series and the comics, where life on other planets and intergalactic zoos are a thing. You can't have a hot girl and a Green lantern without that. It was definitely a fun ride"
"S J","Sep 27, 2025","Worst Superman movie I've ever seen (all of) although it probably had the best effects of them all. Really good looking movie (that's why I'm giving 2 stars and not only 1) but the parody Superman approach was awful in my opinion and it felt like watching a comedy with mostly bad acting but not funny at all. After the Guardians of the Galaxy movies which I loved I think it was odd for me James Gunn could make such a bad movie although it looks like most Americans loved it. I loved the ""Man of Steel Superman"" so it's not that I hate Superman but this movie was cringy in comparison. If you liked Man of Steel a lot I suggest you don't watch this movie at all and I only did watch it all because of the great cinematography and effects."
"L. M","Sep 27, 2025","Thank goodness for fast forward.  I’m watching it on BluRay (Thank you library),  i can’t blame the actors, but the storyline and such is an embarrassment to the Superman movie series.  First, he is not a meta human; stop calling him that.  Somehow Luthor magically creates an “ultra man” (no backstory) and a nanotechnology powered “engineer”.  I got as far as them strolling into the Fortress in Antarctica.  There is no real security; it just opened for Lex.  All the robots are destroyed, and the “engineer” connects, downloads, translates and walks away with the entire contents of his Krytonian computer.  Then the fast forward kicked in.  Social media manipulating human opinion, etc.  his own super friends turn on him.  Blah, blan blah.   Henry Cavill should thank the powers that be that he was replaced.

Question:  when they dove back into the atmosphere from space, what happened to the heat?

BTW, hair doesn’t have dna.  The follicle yes, but the strand no."
